,anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
557,2023,46,07,quantile,0.25,2,7.0325001120196005
558,2023,46,07,quantile,0.25,3,6.809387901870579
559,2023,46,07,quantile,0.25,4,6.460320566819597
560,2023,46,08,quantile,0.25,1,9.253367424666662
561,2023,46,08,quantile,0.25,2,10.3475001120196
562,2023,46,08,quantile,0.25,3,10.23488790187058
563,2023,46,08,quantile,0.25,4,9.819520566819596
564,2023,46,09,quantile,0.25,1,12.945367424666662
565,2023,46,09,quantile,0.25,2,14.607500112019595
566,2023,46,09,quantile,0.25,3,14.636887901870578
567,2023,46,09,quantile,0.25,4,14.136320566819595
568,2023,46,10,quantile,0.25,1,7.485367424666661
569,2023,46,10,quantile,0.25,2,8.307500112019598
570,2023,46,10,quantile,0.25,3,8.126887901870578
571,2023,46,10,quantile,0.25,4,7.752320566819597
572,2023,46,11,quantile,0.25,1,1.1933674246666617
573,2023,46,11,quantile,0.25,2,1.0475001120196
574,2023,46,11,quantile,0.25,3,0.624887901870578
575,2023,46,11,quantile,0.25,4,0.3955205668195964
576,2023,46,14,quantile,0.25,1,11.294367424666662
577,2023,46,14,quantile,0.25,2,12.7025001120196
578,2023,46,14,quantile,0.25,3,12.66838790187058
579,2023,46,14,quantile,0.25,4,12.205920566819596
580,2023,46,15,quantile,0.25,1,5.444367424666662
581,2023,46,15,quantile,0.25,2,5.9525001120196
582,2023,46,15,quantile,0.25,3,5.693387901870578
583,2023,46,15,quantile,0.25,4,5.365920566819597
584,2023,46,16,quantile,0.25,1,4.599367424666662
585,2023,46,16,quantile,0.25,2,4.9775001120196
586,2023,46,16,quantile,0.25,3,4.6858879018705775
587,2023,46,16,quantile,0.25,4,4.377920566819596
588,2023,46,17,quantile,0.25,1,6.289367424666661
589,2023,46,17,quantile,0.25,2,6.9275001120196
590,2023,46,17,quantile,0.25,3,6.700887901870578
591,2023,46,17,quantile,0.25,4,6.353920566819596
592,2023,46,18,quantile,0.25,1,6.276367424666661
593,2023,46,18,quantile,0.25,2,6.9125001120196
594,2023,46,18,quantile,0.25,3,6.685387901870579
595,2023,46,18,quantile,0.25,4,6.338720566819596
596,2023,46,12,quantile,0.25,1,8.746367424666662
597,2023,46,12,quantile,0.25,2,9.7625001120196
598,2023,46,12,quantile,0.25,3,9.63038790187058
599,2023,46,12,quantile,0.25,4,9.226720566819598
600,2023,46,13,quantile,0.25,1,7.277367424666663
601,2023,46,13,quantile,0.25,2,8.0675001120196
602,2023,46,13,quantile,0.25,3,7.878887901870579
