anno,settimana,orizzonte,luogo,tipo_valore,id_valore,valore,target
2025,8,2,IT,quantile,0.975,2.575365676426609,ILI+_FLU_A
2025,8,3,IT,quantile,0.975,2.789875617883357,ILI+_FLU_A
2025,8,4,IT,quantile,0.975,3.141759000027748,ILI+_FLU_A
2025,8,1,IT,quantile,0.99,2.592043012773891,ILI+_FLU_A
2025,8,2,IT,quantile,0.99,2.622730316154055,ILI+_FLU_A
2025,8,3,IT,quantile,0.99,2.848481043245597,ILI+_FLU_A
2025,8,4,IT,quantile,0.99,3.2079234712402034,ILI+_FLU_A
2025,8,1,IT,quantile,0.01,1.0691397738030886,ILI+_FLU_B
2025,8,2,IT,quantile,0.01,0.4781771127334564,ILI+_FLU_B
2025,8,3,IT,quantile,0.01,0.0958459515587175,ILI+_FLU_B
2025,8,4,IT,quantile,0.01,0.0631,ILI+_FLU_B
2025,8,1,IT,quantile,0.025,1.0964174523924508,ILI+_FLU_B
2025,8,2,IT,quantile,0.025,0.5169533131166499,ILI+_FLU_B
2025,8,3,IT,quantile,0.025,0.143226963870664,ILI+_FLU_B
2025,8,4,IT,quantile,0.025,0.0631,ILI+_FLU_B
2025,8,1,IT,quantile,0.05,1.141012311726447,ILI+_FLU_B
2025,8,2,IT,quantile,0.05,0.5803465082498211,ILI+_FLU_B
2025,8,3,IT,quantile,0.05,0.2206877189063807,ILI+_FLU_B
2025,8,4,IT,quantile,0.05,0.0604476425680651,ILI+_FLU_B
2025,8,1,IT,quantile,0.1,1.2273376497652548,ILI+_FLU_B
2025,8,2,IT,quantile,0.1,0.7030610785155307,ILI+_FLU_B
2025,8,3,IT,quantile,0.1,0.3706338329442813,ILI+_FLU_B
2025,8,4,IT,quantile,0.1,0.2276274440411099,ILI+_FLU_B
2025,8,1,IT,quantile,0.15,1.3104607306326743,ILI+_FLU_B
2025,8,2,IT,quantile,0.15,0.8212235251337134,ILI+_FLU_B
2025,8,3,IT,quantile,0.15,0.5150176633015339,ILI+_FLU_B
2025,8,4,IT,quantile,0.15,0.3886056744535509,ILI+_FLU_B
2025,8,1,IT,quantile,0.2,1.390998981465667,ILI+_FLU_B
2025,8,2,IT,quantile,0.2,0.9357115429678232,ILI+_FLU_B
2025,8,3,IT,quantile,0.2,0.6549116737760473,ILI+_FLU_B
2025,8,4,IT,quantile,0.2,0.5445780585893999,ILI+_FLU_B
2025,8,1,IT,quantile,0.25,1.4694654352481704,ILI+_FLU_B
2025,8,2,IT,quantile,0.25,1.0472544268412154,ILI+_FLU_B
2025,8,3,IT,quantile,0.25,0.7912069967289858,ILI+_FLU_B
2025,8,4,IT,quantile,0.25,0.6965381489136975,ILI+_FLU_B
2025,8,1,IT,quantile,0.3,1.546297580772837,ILI+_FLU_B
2025,8,2,IT,quantile,0.3,1.1564740827945268,ILI+_FLU_B
