origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.3,316.0329700826763
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.3,288.9630837558731
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.3,267.3170338845643
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.35,360.71471714903055
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.35,326.9186947722038
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.35,301.0661743519971
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.35,280.2351779834954
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.4,369.6182492923547
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.4,337.6736461409843
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.4,313.0238670629368
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.4,292.99813272665216
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.45,378.4512752213632
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.45,348.3434300847526
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.45,324.88686795590746
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.45,305.66001885929177
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.5,387.2495341098081
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.5,358.9712174563201
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.5,336.7031757409253
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.5,318.2720674490186
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.55,396.047792998253
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.55,369.59900482788765
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.55,348.51948352594314
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.55,330.88411603874545
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.6,404.8808189272616
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.6,380.2687887716559
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.6,360.3824844189138
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.6,343.54600217138506
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.65,413.78435107058567
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.65,391.0237401404364
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.65,372.3401771298535
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.65,356.3089569145418
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.7,422.7961444625975
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.7,401.909464829964
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.7,384.44326772597753
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.7,369.2271010134729
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.75,431.9571671307036
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.75,412.9754498455458
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.75,396.7467774140177
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.75,382.3591609456358
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.8,441.3130553058767
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.8,424.2768211121372
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.8,409.3119969286705
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.8,395.770554922722
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.85,450.9159726328929
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.85,435.8765892926697
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.85,422.20898350394975
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.85,409.5360580145349
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.9,460.8270902109485
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.9,447.8486455335378
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.9,435.5198916371049
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.9,423.74335721518696
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.95,471.1200264969923
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.95,460.28191666867497
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.95,449.3435929750146
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.95,438.4979824446216
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.975,476.4372607672312
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.975,466.7048278316016
