orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana
2,07,quantile,0.2,14.867308598483582,2024,1
3,07,quantile,0.2,13.494095025052571,2024,1
4,07,quantile,0.2,11.640333904884905,2024,1
1,07,quantile,0.25,15.518558399013624,2024,1
2,07,quantile,0.25,15.144064762654216,2024,1
3,07,quantile,0.25,13.95771469935217,2024,1
4,07,quantile,0.25,12.128668298229956,2024,1
1,07,quantile,0.3,15.702624464078063,2024,1
2,07,quantile,0.3,15.42092082208475,2024,1
3,07,quantile,0.3,14.296094143745847,2024,1
4,07,quantile,0.3,12.549388895118163,2024,1
1,07,quantile,0.35,15.885141922739171,2024,1
2,07,quantile,0.35,15.662189946763691,2024,1
3,07,quantile,0.35,14.708788890837935,2024,1
4,07,quantile,0.35,12.973202651345964,2024,1
1,07,quantile,0.4,16.0266146266003,2024,1
2,07,quantile,0.4,16.02485722069507,2024,1
3,07,quantile,0.4,15.115541568464945,2024,1
4,07,quantile,0.4,13.379065599682344,2024,1
1,07,quantile,0.45,16.15130144800388,2024,1
2,07,quantile,0.45,16.3186183340646,2024,1
3,07,quantile,0.45,15.46791116012343,2024,1
4,07,quantile,0.45,13.82238793586856,2024,1
1,07,quantile,0.5,16.268797560364145,2024,1
2,07,quantile,0.5,16.571322387305703,2024,1
3,07,quantile,0.5,15.853217016522397,2024,1
4,07,quantile,0.5,14.178412350585532,2024,1
1,07,quantile,0.55,16.416242482074235,2024,1
2,07,quantile,0.55,16.7728008379325,2024,1
3,07,quantile,0.55,16.185999260583838,2024,1
4,07,quantile,0.55,14.627991767448233,2024,1
1,07,quantile,0.6,16.56622910110613,2024,1
2,07,quantile,0.6,17.031037193469402,2024,1
3,07,quantile,0.6,16.571780049705442,2024,1
4,07,quantile,0.6,15.073892240019052,2024,1
1,07,quantile,0.65,16.68160138615791,2024,1
2,07,quantile,0.65,17.33444127278962,2024,1
3,07,quantile,0.65,17.006660744059626,2024,1
4,07,quantile,0.65,15.606639504246347,2024,1
1,07,quantile,0.7,16.82298562334888,2024,1
2,07,quantile,0.7,17.663555093724664,2024,1
3,07,quantile,0.7,17.528315626229475,2024,1
4,07,quantile,0.7,16.13942162213792,2024,1
1,07,quantile,0.75,16.957322260146213,2024,1
2,07,quantile,0.75,17.851830676671682,2024,1
3,07,quantile,0.75,17.905645041282057,2024,1
4,07,quantile,0.75,16.74838020788327,2024,1
1,07,quantile,0.8,17.116113628152483,2024,1
2,07,quantile,0.8,18.10466639380091,2024,1
3,07,quantile,0.8,18.30674488784874,2024,1
4,07,quantile,0.8,17.322400244557823,2024,1
1,07,quantile,0.85,17.29914006113876,2024,1
2,07,quantile,0.85,18.434801946821317,2024,1
3,07,quantile,0.85,18.888348304499512,2024,1
4,07,quantile,0.85,17.895843678340075,2024,1
1,07,quantile,0.9,17.53697988637592,2024,1
2,07,quantile,0.9,18.76074481172496,2024,1
3,07,quantile,0.9,19.300386185526108,2024,1
4,07,quantile,0.9,18.655064652696247,2024,1
1,07,quantile,0.95,17.858543743241196,2024,1
2,07,quantile,0.95,19.165326241406305,2024,1
3,07,quantile,0.95,19.855744135535755,2024,1
4,07,quantile,0.95,19.341109222457877,2024,1
1,07,quantile,0.975,17.999416348558395,2024,1
2,07,quantile,0.975,19.42466114080202,2024,1
3,07,quantile,0.975,20.120516028803817,2024,1
4,07,quantile,0.975,19.68594433031176,2024,1
1,07,quantile,0.99,18.26956972024375,2024,1
2,07,quantile,0.99,19.669378403619145,2024,1
3,07,quantile,0.99,20.316709893088262,2024,1
4,07,quantile,0.99,19.83642379873576,2024,1
1,IT,quantile,0.01,13.242612624209428,2024,1
2,IT,quantile,0.01,12.388012219004723,2024,1
3,IT,quantile,0.01,11.310398554448566,2024,1
4,IT,quantile,0.01,10.059024425541434,2024,1
1,IT,quantile,0.025,13.541358680090314,2024,1
2,IT,quantile,0.025,12.632225249386188,2024,1
3,IT,quantile,0.025,11.46366998847786,2024,1
4,IT,quantile,0.025,10.139601345256134,2024,1
1,IT,quantile,0.05,13.861942219953784,2024,1
2,IT,quantile,0.05,12.885363006967124,2024,1
3,IT,quantile,0.05,11.657083089910282,2024,1
4,IT,quantile,0.05,10.246512157290312,2024,1
1,IT,quantile,0.1,14.276108778516411,2024,1
2,IT,quantile,0.1,13.285855341701048,2024,1
3,IT,quantile,0.1,11.939001011706246,2024,1
4,IT,quantile,0.1,10.471143904590145,2024,1
1,IT,quantile,0.15,14.588824436916765,2024,1
2,IT,quantile,0.15,13.590405578007312,2024,1
3,IT,quantile,0.15,12.222501960761688,2024,1
4,IT,quantile,0.15,10.712318345331871,2024,1
1,IT,quantile,0.2,14.849195342523744,2024,1
2,IT,quantile,0.2,13.852708198188438,2024,1
3,IT,quantile,0.2,12.520384025054875,2024,1
4,IT,quantile,0.2,10.989510291638132,2024,1
1,IT,quantile,0.25,15.079082858237143,2024,1
2,IT,quantile,0.25,14.115866953799609,2024,1
3,IT,quantile,0.25,12.784320622008602,2024,1
4,IT,quantile,0.25,11.24317311265644,2024,1
1,IT,quantile,0.3,15.306881683331904,2024,1
2,IT,quantile,0.3,14.365519552706802,2024,1
3,IT,quantile,0.3,13.041445752540003,2024,1
4,IT,quantile,0.3,11.528228197800695,2024,1
1,IT,quantile,0.35,15.50810977328057,2024,1
2,IT,quantile,0.35,14.615935382951088,2024,1
3,IT,quantile,0.35,13.318191324754462,2024,1
4,IT,quantile,0.35,11.81115398376148,2024,1
1,IT,quantile,0.4,15.685022860626653,2024,1
2,IT,quantile,0.4,14.870455980541648,2024,1
3,IT,quantile,0.4,13.61685537151828,2024,1
4,IT,quantile,0.4,12.122071886947216,2024,1
1,IT,quantile,0.45,15.88390403906635,2024,1
2,IT,quantile,0.45,15.123933829548395,2024,1
3,IT,quantile,0.45,13.892769392057582,2024,1
4,IT,quantile,0.45,12.392277388555046,2024,1
