orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
0,02,quantile,0.2,12.879436652354707,2025,51,ARI
1,02,quantile,0.2,13.594312750608454,2025,51,ARI
2,02,quantile,0.2,14.378776472834472,2025,51,ARI
3,02,quantile,0.2,13.935815754145567,2025,51,ARI
4,02,quantile,0.2,12.18354083075742,2025,51,ARI
-1,02,quantile,0.25,11.841897149878683,2025,51,ARI
0,02,quantile,0.25,12.91041692343165,2025,51,ARI
1,02,quantile,0.25,13.718317982266258,2025,51,ARI
2,02,quantile,0.25,14.649481244032868,2025,51,ARI
3,02,quantile,0.25,14.55606684178121,2025,51,ARI
4,02,quantile,0.25,12.92574825688362,2025,51,ARI
-1,02,quantile,0.3,11.882055512535846,2025,51,ARI
0,02,quantile,0.3,12.946542609921815,2025,51,ARI
1,02,quantile,0.3,13.76924737789337,2025,51,ARI
2,02,quantile,0.3,14.797697622367734,2025,51,ARI
3,02,quantile,0.3,14.854919812638164,2025,51,ARI
4,02,quantile,0.3,13.325190397820966,2025,51,ARI
-1,02,quantile,0.35,11.920223945461428,2025,51,ARI
0,02,quantile,0.35,12.964895644928683,2025,51,ARI
1,02,quantile,0.35,13.83040785026721,2025,51,ARI
2,02,quantile,0.35,14.972151234027017,2025,51,ARI
3,02,quantile,0.35,15.063125663635022,2025,51,ARI
4,02,quantile,0.35,13.88273725404582,2025,51,ARI
-1,02,quantile,0.4,11.962076807073156,2025,51,ARI
0,02,quantile,0.4,12.995212082309068,2025,51,ARI
1,02,quantile,0.4,13.909527330469457,2025,51,ARI
2,02,quantile,0.4,15.2662580464094,2025,51,ARI
3,02,quantile,0.4,15.383600689341446,2025,51,ARI
4,02,quantile,0.4,14.169152251349844,2025,51,ARI
-1,02,quantile,0.45,11.989021899990052,2025,51,ARI
0,02,quantile,0.45,13.02405617660552,2025,51,ARI
1,02,quantile,0.45,14.028829252896308,2025,51,ARI
2,02,quantile,0.45,15.425762396081788,2025,51,ARI
3,02,quantile,0.45,15.613944110053833,2025,51,ARI
