anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,2,02,quantile,0.3,0,ILI,16.916677934081623
2025,2,02,quantile,0.3,1,ILI,23.243518447196728
2025,2,02,quantile,0.3,2,ILI,21.157626000321674
2025,2,02,quantile,0.3,3,ILI,17.397004191219754
2025,2,02,quantile,0.3,4,ILI,13.234143687711335
2025,2,02,quantile,0.35,-1,ILI,13.947401700672742
2025,2,02,quantile,0.35,0,ILI,17.529283091943526
2025,2,02,quantile,0.35,1,ILI,23.65573494609749
2025,2,02,quantile,0.35,2,ILI,21.627307905177375
2025,2,02,quantile,0.35,3,ILI,18.083412821679794
2025,2,02,quantile,0.35,4,ILI,13.90803997916922
2025,2,02,quantile,0.4,-1,ILI,14.369962069013273
2025,2,02,quantile,0.4,0,ILI,17.96482897433342
2025,2,02,quantile,0.4,1,ILI,24.055087558418016
2025,2,02,quantile,0.4,2,ILI,22.09946678995482
2025,2,02,quantile,0.4,3,ILI,18.581046114920863
2025,2,02,quantile,0.4,4,ILI,14.409993642956184
2025,2,02,quantile,0.45,-1,ILI,14.7547858646254
2025,2,02,quantile,0.45,0,ILI,18.42977415372879
2025,2,02,quantile,0.45,1,ILI,24.426855394292172
2025,2,02,quantile,0.45,2,ILI,22.654539511853887
2025,2,02,quantile,0.45,3,ILI,19.12308216088053
2025,2,02,quantile,0.45,4,ILI,14.894018689055617
2025,2,02,quantile,0.5,-1,ILI,15.237082267672271
2025,2,02,quantile,0.5,0,ILI,18.825730541007122
2025,2,02,quantile,0.5,1,ILI,24.757124246358458
2025,2,02,quantile,0.5,2,ILI,23.16182125447853
2025,2,02,quantile,0.5,3,ILI,19.71320964983006
2025,2,02,quantile,0.5,4,ILI,15.485822380403542
2025,2,02,quantile,0.55,-1,ILI,15.67472105905286
2025,2,02,quantile,0.55,0,ILI,19.1651559400519
2025,2,02,quantile,0.55,1,ILI,25.073510429655858
2025,2,02,quantile,0.55,2,ILI,23.664988829212938
2025,2,02,quantile,0.55,3,ILI,20.275550545325547
2025,2,02,quantile,0.55,4,ILI,16.15070972326967
2025,2,02,quantile,0.6,-1,ILI,16.031793170321954
2025,2,02,quantile,0.6,0,ILI,19.6931772070414
2025,2,02,quantile,0.6,1,ILI,25.450130267783695
2025,2,02,quantile,0.6,2,ILI,24.147435677340454
2025,2,02,quantile,0.6,3,ILI,20.893848604469916
2025,2,02,quantile,0.6,4,ILI,16.742319345673202
2025,2,02,quantile,0.65,-1,ILI,16.473379170324744
2025,2,02,quantile,0.65,0,ILI,20.077733703478433
2025,2,02,quantile,0.65,1,ILI,25.835365619245973
2025,2,02,quantile,0.65,2,ILI,24.616364235484355
2025,2,02,quantile,0.65,3,ILI,21.475140348203638
